epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.653,0.9304,2.76592,0.95194,0.13389,0.83224,0.744,0.4925,0.85739,3.09983,0.84992,0.00028339,0.00028339,0.00028339
2,292.868,0.89162,0.96708,0.91572,0.08623,0.48584,0.37903,0.25674,0.88474,3.14031,0.88142,0.000577674,0.000577674,0.000577674
3,438.69,0.83397,0.71843,0.92217,0.16237,0.86492,0.40768,0.27744,0.84442,2.84641,0.86291,0.000866017,0.000866017,0.000866017
4,586.1,0.82508,0.64674,0.91585,0.20316,0.98039,0.56839,0.43689,0.8304,2.68613,0.86641,0.00114842,0.00114842,0.00114842
5,723.981,0.84882,0.62948,0.91304,0.16316,0.98039,0.46763,0.36577,0.81164,2.53351,0.87743,0.00142488,0.00142488,0.00142488
6,861.033,0.85332,0.6114,0.92836,0.9873,0.67747,0.98433,0.74332,0.91369,1.73896,0.92025,0.00158448,0.00158448,0.00158448
7,997.865,0.85975,0.59069,0.92975,0.98225,0.96451,0.986,0.75741,0.8419,1.25363,0.88571,0.00156798,0.00156798,0.00156798
8,1135.44,0.80685,0.55678,0.90009,0.9684,0.9695,0.98634,0.78681,0.7997,0.93227,0.88658,0.00155148,0.00155148,0.00155148
9,1271.29,0.81345,0.52793,0.91124,0.98037,0.97941,0.98758,0.78719,0.78406,0.63967,0.88676,0.00153497,0.00153497,0.00153497
10,1409.18,0.77961,0.51121,0.89647,0.97887,0.98475,0.9884,0.78974,0.76948,0.57263,0.88782,0.00151847,0.00151847,0.00151847
11,1544.73,0.78338,0.50168,0.89899,0.98041,0.98129,0.98934,0.78541,0.78206,0.54045,0.89306,0.00150197,0.00150197,0.00150197
12,1679.23,0.75468,0.48665,0.90153,0.97209,0.98654,0.98643,0.78895,0.76175,0.47313,0.88182,0.00148546,0.00148546,0.00148546
13,1815.23,0.77303,0.49423,0.90104,0.98172,0.98257,0.98918,0.78696,0.78142,0.47459,0.88147,0.00146896,0.00146896,0.00146896
14,1950.29,0.79421,0.47616,0.90384,0.98907,0.98582,0.99445,0.79442,0.76185,0.44745,0.88122,0.00145246,0.00145246,0.00145246
15,2091.16,0.77671,0.46337,0.89953,0.98507,0.98039,0.99022,0.79151,0.76858,0.45299,0.88048,0.00143595,0.00143595,0.00143595
16,2233.39,0.75673,0.46141,0.89796,0.98636,0.97603,0.99103,0.79365,0.75085,0.43998,0.87739,0.00141945,0.00141945,0.00141945
17,2374.93,0.76253,0.4486,0.89893,0.98051,0.98039,0.99335,0.79109,0.76525,0.43309,0.87945,0.00140295,0.00140295,0.00140295
18,2510.41,0.76741,0.44556,0.89807,0.98261,0.98472,0.99158,0.79205,0.77285,0.43755,0.87907,0.00138644,0.00138644,0.00138644
19,2643.6,0.74024,0.43297,0.8893,0.98467,0.97948,0.98995,0.78816,0.76774,0.40702,0.88011,0.00136994,0.00136994,0.00136994
20,2776.09,0.75425,0.44239,0.89984,0.97624,0.98039,0.992,0.78165,0.79456,0.42967,0.89089,0.00135344,0.00135344,0.00135344
21,2908.48,0.74402,0.43038,0.88998,0.98746,0.97603,0.99098,0.77798,0.80262,0.42637,0.88917,0.00133693,0.00133693,0.00133693
22,3041.85,0.74358,0.43231,0.88611,0.98165,0.97603,0.99014,0.79042,0.77063,0.42295,0.88533,0.00132043,0.00132043,0.00132043
23,3175.26,0.73338,0.42153,0.88908,0.98624,0.97821,0.99091,0.79022,0.77905,0.40383,0.88597,0.00130393,0.00130393,0.00130393
24,3312.96,0.76017,0.42366,0.89167,0.98678,0.97554,0.98768,0.7831,0.77147,0.40821,0.88838,0.00128742,0.00128742,0.00128742
25,3446.09,0.74873,0.4176,0.88738,0.98451,0.98039,0.99069,0.79401,0.75602,0.39761,0.88189,0.00127092,0.00127092,0.00127092
26,3579.75,0.73695,0.40556,0.8862,0.98258,0.98693,0.98998,0.79235,0.74952,0.39035,0.88245,0.00125442,0.00125442,0.00125442
27,3711.75,0.728,0.40034,0.88815,0.98825,0.98257,0.99024,0.78341,0.78068,0.3956,0.88504,0.00123791,0.00123791,0.00123791
28,3843.87,0.7155,0.39098,0.87869,0.98597,0.98039,0.99159,0.80178,0.73823,0.38094,0.87334,0.00122141,0.00122141,0.00122141
29,3975.27,0.71938,0.39007,0.88685,0.99339,0.98179,0.99097,0.79687,0.73658,0.3778,0.87505,0.00120491,0.00120491,0.00120491
30,4106.46,0.71566,0.38615,0.87975,0.97831,0.9827,0.99242,0.78284,0.78824,0.39276,0.88505,0.0011884,0.0011884,0.0011884
31,4238.3,0.73513,0.39403,0.89271,0.99098,0.97386,0.98598,0.77937,0.76627,0.39765,0.88547,0.0011719,0.0011719,0.0011719
32,4370.77,0.72508,0.39013,0.88779,0.98734,0.97821,0.98776,0.79968,0.74435,0.37797,0.87625,0.0011554,0.0011554,0.0011554
33,4502.67,0.7173,0.38138,0.88022,0.98232,0.98911,0.99126,0.80057,0.73919,0.38076,0.87403,0.00113889,0.00113889,0.00113889
34,4635.72,0.70595,0.37897,0.88229,0.98606,0.98693,0.99282,0.80322,0.73629,0.37118,0.87379,0.00112239,0.00112239,0.00112239
35,4771.02,0.7122,0.37255,0.87845,0.98899,0.97838,0.99336,0.80354,0.7281,0.36587,0.87557,0.00110589,0.00110589,0.00110589
36,4905.68,0.696,0.37267,0.87979,0.99056,0.97603,0.99082,0.80197,0.74081,0.36682,0.87622,0.00108938,0.00108938,0.00108938
37,5040.15,0.70625,0.36912,0.88252,0.98324,0.98257,0.99002,0.79343,0.74663,0.372,0.88023,0.00107288,0.00107288,0.00107288
38,5176.21,0.71657,0.36843,0.8791,0.98252,0.97951,0.98704,0.77824,0.78586,0.37968,0.89112,0.00105638,0.00105638,0.00105638
39,5313.81,0.7173,0.37098,0.88021,0.98254,0.98065,0.98846,0.78939,0.76657,0.36617,0.8871,0.00103987,0.00103987,0.00103987
40,5449.5,0.70521,0.36369,0.88474,0.99036,0.98475,0.99091,0.78429,0.8026,0.3699,0.89388,0.00102337,0.00102337,0.00102337
41,5584.53,0.69973,0.36449,0.87858,0.98422,0.98693,0.98935,0.79018,0.77929,0.36661,0.88497,0.00100687,0.00100687,0.00100687
42,5719.12,0.71043,0.36092,0.87598,0.99261,0.98039,0.98945,0.78899,0.74759,0.35915,0.87756,0.000990365,0.000990365,0.000990365
43,5853.11,0.69343,0.35407,0.87854,0.98935,0.98475,0.99096,0.7933,0.75443,0.36342,0.87922,0.000973861,0.000973861,0.000973861
44,5987.12,0.68922,0.3558,0.87852,0.9826,0.98447,0.99169,0.79745,0.75697,0.35664,0.88053,0.000957358,0.000957358,0.000957358
45,6121.65,0.68698,0.35159,0.87541,0.9894,0.97603,0.99032,0.79084,0.7562,0.35716,0.88057,0.000940855,0.000940855,0.000940855
46,6256.63,0.68765,0.35092,0.87773,0.98421,0.98475,0.99132,0.78721,0.77145,0.35995,0.88374,0.000924352,0.000924352,0.000924352
47,6390.42,0.67939,0.3513,0.87417,0.98408,0.98257,0.98638,0.79584,0.75912,0.36395,0.87778,0.000907848,0.000907848,0.000907848
48,6524.93,0.67147,0.34945,0.86611,0.98513,0.98257,0.9884,0.80006,0.74522,0.34565,0.87794,0.000891345,0.000891345,0.000891345
49,6658.73,0.67315,0.34661,0.87795,0.9878,0.98039,0.99051,0.80331,0.75241,0.35453,0.88176,0.000874842,0.000874842,0.000874842
50,6793.44,0.67701,0.34295,0.86903,0.989,0.97921,0.98964,0.79909,0.7484,0.35399,0.87871,0.000858338,0.000858338,0.000858338
51,6928.57,0.67737,0.34383,0.8719,0.98686,0.98193,0.98926,0.79949,0.75627,0.35195,0.87745,0.000841835,0.000841835,0.000841835
52,7062.61,0.6766,0.34431,0.87101,0.98809,0.98039,0.99017,0.79595,0.75226,0.35476,0.88058,0.000825332,0.000825332,0.000825332
53,7195.52,0.66792,0.33979,0.87199,0.99115,0.97561,0.98928,0.78997,0.77515,0.35013,0.88191,0.000808828,0.000808828,0.000808828
54,7328.38,0.67307,0.33609,0.87683,0.98321,0.98257,0.98876,0.79034,0.77757,0.34861,0.88887,0.000792325,0.000792325,0.000792325
55,7461.88,0.66035,0.33423,0.86943,0.9761,0.98475,0.99089,0.80352,0.74957,0.34074,0.87947,0.000775822,0.000775822,0.000775822
56,7594.66,0.65346,0.32711,0.87021,0.98401,0.98039,0.99095,0.80433,0.75179,0.34459,0.8794,0.000759318,0.000759318,0.000759318
57,7727.72,0.64435,0.32976,0.86823,0.98426,0.98257,0.99039,0.80113,0.74585,0.34304,0.87506,0.000742815,0.000742815,0.000742815
58,7860.72,0.64365,0.32603,0.86367,0.98438,0.98039,0.99,0.80145,0.75362,0.34415,0.87314,0.000726312,0.000726312,0.000726312
59,7995.73,0.65457,0.33026,0.86203,0.98393,0.98257,0.99187,0.80717,0.74016,0.33975,0.87239,0.000709809,0.000709809,0.000709809
60,8132.57,0.65182,0.32601,0.8656,0.99102,0.98257,0.99138,0.81657,0.72822,0.32951,0.87003,0.000693305,0.000693305,0.000693305
61,8265.53,0.63874,0.31959,0.86428,0.98401,0.98039,0.98972,0.80853,0.73537,0.33286,0.87289,0.000676802,0.000676802,0.000676802
62,8397.89,0.64225,0.31967,0.86162,0.9783,0.98208,0.98848,0.78869,0.77474,0.34501,0.8802,0.000660299,0.000660299,0.000660299
63,8528.82,0.6272,0.3185,0.86463,0.98047,0.98436,0.98824,0.79973,0.7446,0.33932,0.87144,0.000643795,0.000643795,0.000643795
64,8659.61,0.63759,0.31558,0.86326,0.98468,0.98022,0.98527,0.80344,0.73759,0.34135,0.87387,0.000627292,0.000627292,0.000627292
65,8790.7,0.6257,0.31466,0.86171,0.98264,0.98653,0.98754,0.80597,0.73483,0.33659,0.87137,0.000610789,0.000610789,0.000610789
66,8921.87,0.62951,0.31271,0.86166,0.98461,0.98257,0.98812,0.79913,0.75948,0.33352,0.87674,0.000594286,0.000594286,0.000594286
67,9053.44,0.64022,0.31845,0.85958,0.98869,0.98693,0.99067,0.81294,0.74308,0.32444,0.87263,0.000577782,0.000577782,0.000577782
68,9185.23,0.62014,0.31148,0.85486,0.98469,0.98039,0.99033,0.80914,0.74477,0.32701,0.87364,0.000561279,0.000561279,0.000561279
69,9319.84,0.63052,0.31295,0.86128,0.98317,0.98475,0.99009,0.80207,0.74599,0.32983,0.87389,0.000544776,0.000544776,0.000544776
70,9452.78,0.60709,0.30439,0.85903,0.98477,0.98595,0.98794,0.80805,0.73367,0.32689,0.87182,0.000528272,0.000528272,0.000528272
71,9585.83,0.61738,0.30725,0.86182,0.98687,0.98251,0.99046,0.80724,0.75127,0.32532,0.8762,0.000511769,0.000511769,0.000511769
72,9718.15,0.61076,0.305,0.85813,0.98262,0.98568,0.9911,0.80768,0.7408,0.33044,0.87351,0.000495266,0.000495266,0.000495266
73,9849.43,0.60664,0.3022,0.8579,0.98538,0.98257,0.98954,0.8052,0.75299,0.32394,0.87363,0.000478762,0.000478762,0.000478762
74,9982.16,0.61639,0.30595,0.85705,0.98257,0.98265,0.98796,0.80856,0.74464,0.32517,0.87397,0.000462259,0.000462259,0.000462259
75,10113.7,0.60514,0.30224,0.85393,0.98472,0.98475,0.99075,0.80636,0.75484,0.32896,0.87505,0.000445756,0.000445756,0.000445756
76,10245.4,0.60872,0.30828,0.85512,0.98558,0.98257,0.99068,0.80076,0.75869,0.32525,0.87736,0.000429253,0.000429253,0.000429253
77,10376.2,0.60908,0.30331,0.85552,0.98958,0.98039,0.99145,0.81171,0.73539,0.31778,0.87107,0.000412749,0.000412749,0.000412749
78,10511,0.60661,0.30049,0.85407,0.98017,0.98693,0.99159,0.81201,0.73846,0.31374,0.86955,0.000396246,0.000396246,0.000396246
79,10642.2,0.59157,0.29413,0.85374,0.98658,0.98475,0.9887,0.8059,0.74839,0.31231,0.8739,0.000379743,0.000379743,0.000379743
80,10773.3,0.59277,0.29548,0.85287,0.98903,0.98225,0.99056,0.80542,0.74517,0.31611,0.87657,0.000363239,0.000363239,0.000363239
81,10904.2,0.58363,0.28907,0.85094,0.98689,0.98403,0.99111,0.80296,0.7559,0.31834,0.87663,0.000346736,0.000346736,0.000346736
82,11035.6,0.59033,0.29148,0.85344,0.98686,0.98197,0.99109,0.81051,0.74252,0.31063,0.87367,0.000330233,0.000330233,0.000330233
83,11167.3,0.58666,0.29079,0.85387,0.98471,0.98475,0.99,0.80743,0.74073,0.31461,0.87434,0.000313729,0.000313729,0.000313729
84,11297.9,0.58454,0.29357,0.85645,0.98473,0.98334,0.98964,0.80417,0.76001,0.32286,0.8789,0.000297226,0.000297226,0.000297226
85,11428.6,0.57706,0.28853,0.85358,0.98433,0.98257,0.98934,0.80478,0.74081,0.31901,0.87599,0.000280723,0.000280723,0.000280723
86,11559.8,0.5699,0.28313,0.84811,0.98903,0.98252,0.9888,0.80874,0.74218,0.31762,0.87396,0.00026422,0.00026422,0.00026422
87,11691.2,0.57229,0.28401,0.84323,0.98565,0.98257,0.9882,0.80206,0.7544,0.31717,0.87626,0.000247716,0.000247716,0.000247716
88,11822.3,0.5671,0.28394,0.8466,0.98244,0.98475,0.98789,0.7992,0.74826,0.31429,0.87642,0.000231213,0.000231213,0.000231213
89,11954.5,0.57003,0.28451,0.8445,0.98267,0.98814,0.98801,0.79974,0.74623,0.31286,0.87668,0.00021471,0.00021471,0.00021471
